skin_color,season
e9d7cf,light_summer
ecd9cb,light_spring
e4dcd7,light_summer
f1dbce,light_spring
e6cbb7,dark autumn
f1d9cd,soft_summer
f0cdbb,true_winter
eedbd4,true_spring
e5cbbe,true_winter
ebcfce,soft_summer
ebd0bf,dark_autumn
f4d8cc,true_autumn
e7ccbb,true_autumn
e0ca0b,true_autumn
ddc4b8,true_spring
f2dbcd,soft_summer
e0c4b0,true_summer
ebd1c0,soft_autumn
e6c6b7,dark_autumn
e6bdab,soft_autumn
e7c4b0,soft_autumn
eed1c3,dark_winter
ead0c3,true_summer
e5c7b9,dark_winter
ecd1c3,bright_winter
e4beab,soft_summer
e2c2ad,true_autumn
eacbc1,soft_autumn
ddb9a6,bright_spring
d6b29f,bright_winter
e1bba8,bright_spring
cb9d83,true_spring
cfa88f,true_summer
c7937b,dark_winter
c5937c,dark_autumn
c68571,bright_spring
e7ae96,soft_autumn
ddb097,true_winter
c39478,true_spring
b07b5c,bright_winter
b27c64,true_winter
be856d,bright_spring
9a6567,bright_winter
965d46,true_summer
9d6d5b,true_summer
875b51,dark_winter
704033,light_spring
53332a,light_spring
462921,light_summer
362219,light_summer
